# >> Votos en Blanco >> Votos Nulos >> Participación Ciudadana >> Ausentismo >> Electores >> Fuente: ONPE,Candidato >> Votos en Blanco >> Votos Nulos >> Participación Ciudadana >> Ausentismo >> Electores >> Fuente: ONPE,Partido >> Votos en Blanco >> Votos Nulos >> Participación Ciudadana >> Ausentismo >> Electores >> Fuente: ONPE,Votos >> 2 225 449 >> 1 168 538 >> 18 734 130 >> 4 167 824 >> 22 901 954 >> Fuente: ONPE,% Votos emitidos >> 11.88 % >> 6.24 % >> 81.80 % >> 18.19 % >> 100.00 % >> Fuente: ONPE,% Votos válidos >> Fuente: ONPE
1,Keiko Fujimori,Fuerza Popular,6 115 073, 32.64 %, 39.86 %
2,Pedro Pablo Kuczynski,Peruanos Por el Kambio,3 228 661, 17.23 %, 21.05 %
3,Verónika Mendoza,Frente Amplio,2 874 940, 15.35 %, 18.74 %
4,Alfredo Barnechea,Acción Popular,1 069 360, 5.71 %, 6.97 %
5,Alan García,Alianza Popular,894 278, 4.77 %, 5.83 %
6,Gregorio Santos,Democracia Directa,613 173, 3.27 %, 4.00 %
7,Fernando Olivera,Frente Esperanza,203 103, 1.08 %, 1.32 %
8,Alejandro Toledo,Perú Posible,200 012, 1.07 %, 1.30 %
9,Miguel Hilario,Progresando Perú,75 870, 0.40 %, 0.49 %
10,Ántero Flores-Aráoz,Partido Político Orden,65 673, 0.35 %, 0.43 %
